year,sex,name,count
1926,F,Lilly,306
1927,F,Lilly,283
1928,F,Lilly,271
1929,F,Lilly,253
1930,F,Lilly,243
1931,F,Lilly,199
1932,F,Lilly,224
1933,F,Lilly,209
1934,F,Lilly,217
1935,F,Lilly,156
1936,F,Lilly,198
1937,F,Lilly,187
1938,F,Lilly,225
1939,F,Lilly,176
1940,F,Lilly,167
1941,F,Lilly,197
1942,F,Lilly,194
1943,F,Lilly,153
1944,F,Lilly,163
1945,F,Lilly,140
1946,F,Lilly,149
1947,F,Lilly,152
1948,F,Lilly,152
1949,F,Lilly,129
1950,F,Lilly,138
1951,F,Lilly,170
1952,F,Lilly,135
1953,F,Lilly,127
1954,F,Lilly,133
1955,F,Lilly,138
1956,F,Lilly,163
1957,F,Lilly,148
1958,F,Lilly,120
1959,F,Lilly,144
1960,F,Lilly,137
1961,F,Lilly,157
1962,F,Lilly,144
1963,F,Lilly,117
1964,F,Lilly,108
1965,F,Lilly,120
1966,F,Lilly,104
1967,F,Lilly,79
1968,F,Lilly,93
1969,F,Lilly,75
1970,F,Lilly,75
1971,F,Lilly,76
1972,F,Lilly,60
1973,F,Lilly,68
1974,F,Lilly,65
1975,F,Lilly,58
1976,F,Lilly,42
1977,F,Lilly,61
1978,F,Lilly,65
1979,F,Lilly,60
1980,F,Lilly,59
1981,F,Lilly,70
1982,F,Lilly,75
1983,F,Lilly,51
1984,F,Lilly,47
1985,F,Lilly,73
1986,F,Lilly,74
1987,F,Lilly,63
1988,F,Lilly,99
1989,F,Lilly,103
1990,F,Lilly,108
1991,F,Lilly,102
1992,F,Lilly,122
1993,F,Lilly,127
1994,F,Lilly,135
1995,F,Lilly,208
1996,F,Lilly,234
1997,F,Lilly,332
1998,F,Lilly,414
1999,F,Lilly,488
2000,F,Lilly,659
2001,F,Lilly,782
2002,F,Lilly,911
2003,F,Lilly,1188
2004,F,Lilly,1616
2004,M,Lilly,9
2005,F,Lilly,1907
2005,M,Lilly,5
2006,F,Lilly,2279
2007,F,Lilly,2402
2007,M,Lilly,5
2008,F,Lilly,2694
2008,M,Lilly,5
2009,F,Lilly,2833
2010,F,Lilly,2891
2011,F,Lilly,2873
2012,F,Lilly,2791
2013,F,Lilly,2620
2014,F,Lilly,2582
2015,F,Lilly,2325
2016,F,Lilly,2172
2017,F,Lilly,1932
2018,F,Lilly,1788
2019,F,Lilly,1553
2020,F,Lilly,1289
2021,F,Lilly,1356
2022,F,Lilly,1315
2023,F,Lilly,1202
2024,F,Lilly,1221
2025,F,Lilly,1218
